7.000,-1.000,0.001,1.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000
7.000,-1.000,0.001,1.000,0.000,0.000,-0.000,0.424,0.353,-0.007,0.302,-0.007,-0.001,-0.002,-0.014,-0.003,0.000,-0.002,0.008,-0.036,59.163,48.653,-1.154,43.436,-1.193,-0.302,-0.443
7.000,-1.000,0.000,1.000,-0.000,0.000,-0.000,0.795,0.687,-0.020,0.593,-0.021,-0.007,-0.010,-0.045,-0.014,-0.000,-0.010,0.019,-0.069,16.894,16.437,-1.336,14.962,-1.538,-0.852,-1.127
6.999,-1.000,0.000,1.000,-0.000,0.000,-0.001,0.827,0.724,-0.034,0.646,-0.038,-0.017,-0.024,-0.071,-0.027,-0.000,-0.014,0.018,-0.137,-8.776,-9.159,-1.458,-3.397,-1.993,-1.239,-1.791
6.998,-1.001,0.000,1.000,-0.000,0.000,-0.002,0.661,0.533,-0.049,0.550,-0.060,-0.032,-0.045,-0.098,-0.034,-0.000,-0.009,0.015,-0.183,-21.518,-25.779,-1.635,-14.041,-2.473,-1.657,-2.427
6.997,-1.001,0.000,1.000,-0.000,0.000,-0.003,0.469,0.305,-0.067,0.416,-0.088,-0.051,-0.073,-0.123,-0.033,-0.000,0.004,0.012,-0.195,-14.261,-16.411,-2.152,-10.820,-3.015,-2.123,-2.975
6.996,-1.001,0.000,1.000,-0.000,0.000,-0.004,0.393,0.227,-0.092,0.348,-0.121,-0.074,-0.105,-0.146,-0.030,-0.000,0.012,0.007,-0.189,-1.651,0.065,-2.804,-2.754,-3.568,-2.590,-3.442
6.994,-1.002,0.000,1.000,-0.000,0.000,-0.005,0.416,0.283,-0.123,0.352,-0.159,-0.102,-0.141,-0.169,-0.030,-0.001,0.010,0.004,-0.195,5.273,9.910,-3.398,2.847,-4.120,-3.023,-3.904
6.992,-1.002,0.000,1.000,-0.000,0.000,-0.006,0.478,0.401,-0.160,0.392,-0.203,-0.134,-0.183,-0.191,-0.036,-0.001,0.003,0.002,-0.229,5.664,10.661,-3.857,3.815,-4.687,-3.387,-4.404
6.990,-1.002,0.000,1.000,-0.000,0.000,-0.007,0.513,0.466,-0.200,0.414,-0.253,-0.170,-0.230,-0.212,-0.045,-0.002,-0.001,0.001,-0.281,1.598,3.397,-4.168,1.053,-5.246,-3.705,-4.935
6.988,-1.003,0.000,1.000,-0.000,0.000,-0.008,0.518,0.482,-0.243,0.418,-0.308,-0.209,-0.282,-0.233,-0.052,-0.002,-0.000,0.000,-0.332,-0.363,0.149,-4.504,-0.155,-5.814,-3.998,-5.453
6.986,-1.003,0.000,1.000,-0.000,0.000,-0.010,0.510,0.476,-0.290,0.414,-0.369,-0.250,-0.339,-0.253,-0.057,-0.003,0.004,0.000,-0.372,-0.977,-1.056,-4.860,-0.571,-6.358,-4.303,-5.950
6.983,-1.004,0.000,1.000,0.000,0.000,-0.012,0.500,0.463,-0.341,0.407,-0.435,-0.295,-0.400,-0.273,-0.061,-0.004,0.009,0.000,-0.403,-0.919,-1.302,-5.224,-0.620,-6.870,-4.624,-6.425
6.980,-1.005,0.000,1.000,0.000,0.000,-0.014,0.492,0.451,-0.395,0.402,-0.506,-0.343,-0.467,-0.293,-0.063,-0.004,0.013,0.001,-0.428,-0.631,-1.160,-5.588,-0.528,-7.355,-4.954,-6.882
6.977,-1.005,0.000,1.000,0.000,0.000,-0.016,0.488,0.441,-0.452,0.397,-0.582,-0.394,-0.538,-0.313,-0.065,-0.005,0.016,0.001,-0.449,-0.342,-0.907,-5.947,-0.402,-7.818,-5.285,-7.321
6.974,-1.006,0.000,1.000,0.000,0.000,-0.019,0.485,0.433,-0.514,0.394,-0.663,-0.448,-0.613,-0.332,-0.066,-0.006,0.017,0.000,-0.468,-0.140,-0.662,-6.296,-0.289,-8.265,-5.610,-7.746
6.971,-1.006,0.000,1.000,0.000,0.000,-0.021,0.485,0.427,-0.578,0.391,-0.748,-0.506,-0.693,-0.350,-0.066,-0.007,0.018,-0.000,-0.486,-0.031,-0.466,-6.634,-0.202,-8.699,-5.927,-8.157
6.967,-1.007,0.000,1.000,0.000,0.000,-0.024,0.484,0.423,-0.646,0.389,-0.837,-0.567,-0.776,-0.367,-0.067,-0.008,0.017,-0.002,-0.505,0.016,-0.321,-6.962,-0.139,-9.122,-6.232,-8.557
