648,151,1
646,531,2
646,206,1
643,265,2
643,434,2
643,211,1
643,248,1
627,36,2
627,382,2
626,146,1
626,221,1
590,625,2
624,582,2
624,297,2
624,616,1
621,228,1
621,250,2
343,62,2
343,57,1
343,331,1
343,206,2
343,506,2
343,639,2
342,323,2
342,101,2
342,378,1
342,472,1
337,194,2
336,298,1
336,391,2
334,30,2
593,42,2
52,334,2
331,343,1
331,505,2
331,533,2
331,646,2
74,181,2
327,312,2
327,30,2
327,14,1
325,535,2
582,498,2
582,624,2
307,246,2
307,11,2
307,537,1
307,539,2
307,649,2
564,47,1
564,289,2
305,630,2
48,230,2
48,361,1
48,481,2
47,76,2
47,114,2
47,190,2
47,191,2
47,428,1
47,529,2
47,564,1
561,385,1
561,152,2
298,44,2
298,318,1
298,358,2
298,392,2
295,137,2
295,468,2
550,462,2
550,465,2
33,81,2
288,590,2
288,625,2
312,21,2
312,576,2
599,27,2
58,590,2
267,188,2
267,258,1
267,275,2
267,398,2
267,645,2
10,89,2
10,112,2
10,155,1
10,494,2
10,506,2
524,234,2
43,254,2
43,385,2
300,146,2
300,450,1
100,250,2
100,547,1
100,621,2
357,500,2
330,323,2
330,378,2
76,529,2
76,619,2
246,220,2
246,146,1
246,4,2
246,307,2
240,152,1
240,225,2
240,16,2
497,197,1
497,368,1
234,175,2
175,251,2
226,1,2
226,321,2
483,48,2
483,562,1
224,154,1
224,348,2
481,471,2
165,224,2
165,583,2
273,300,2
16,563,2
146,221,2
146,246,1
146,273,2
146,300,2
146,362,2
146,556,2
403,46,2
403,599,2
213,533,2
625,93,1
84,342,2
211,36,2
211,248,2
211,490,1
468,368,1
468,124,1
468,415,2
468,68,2
468,497,2
258,267,1
545,481,2
4,211,2
4,248,2
4,393,2
4,537,1
4,556,1
261,453,2
206,10,2
206,62,2
206,646,1
197,497,1
114,191,2
114,330,2
173,40,2
173,5,1
173,127,1
173,298,2
430,188,2
26,112,2
109,68,2
109,191,1
109,378,2
109,428,2
112,94,2
230,186,2
230,483,2
644,493,2
103,81,1
103,93,2
103,288,1
103,581,2
103,607,2
347,97,2
90,226,2
90,305,2
220,450,2
93,103,2
607,554,2
607,58,2
607,605,1
566,382,1
566,75,2
25,248,2
25,307,2
25,516,1
539,307,2
539,63,2
539,542,2
539,548,2
152,240,1
152,246,2
152,263,2
152,362,1
152,444,2
152,539,2
409,472,2
254,325,2
511,415,1
127,173,1
127,358,1
384,347,2
384,164,2
384,213,2
384,104,1
384,533,2
186,58,2
186,605,2
275,35,1
275,301,2
562,483,1
562,605,2
21,497,2
278,17,2
535,325,2
535,184,2
535,284,1
535,190,2
225,240,2
639,164,2
98,3,2
98,190,1
98,391,2
188,46,2
188,267,2
284,529,1
284,535,1
284,558,2
284,629,2
27,230,2
27,361,2
541,180,2
541,3,1
157,142,2
30,327,2
348,126,2
348,151,2
221,158,2
221,265,2
221,556,2
221,626,1
221,627,1
478,409,2
94,62,2
521,453,2
521,391,1
521,261,2
311,301,2
57,94,2
57,175,2
57,343,1
57,646,2
184,190,2
184,289,2
35,258,2
35,630,2
576,327,2
544,251,2
544,639,2
3,138,1
3,541,1
3,550,2
248,25,2
248,4,2
248,643,1
505,29,2
121,138,2
378,330,2
378,5,2
378,342,1
378,318,2
378,417,1
151,165,2
151,348,2
151,522,1
151,581,2
151,604,2
151,609,2
228,321,2
228,592,2
228,621,1
101,84,2
101,19,2
101,47,2
101,109,1
101,377,2
101,447,2
358,127,1
358,298,2
11,25,2
11,594,2
14,327,1
645,599,2
104,2,2
104,29,2
104,384,1
104,544,2
104,604,2
361,48,1
361,132,2
361,27,2
531,639,2
321,232,2
321,228,2
321,349,1
321,547,2
605,562,2
605,607,1
64,158,2
64,627,2
578,190,2
578,391,1
67,52,2
194,223,2
329,156,1
329,378,2
329,409,2
329,495,1
181,17,1
181,455,2
132,27,2
132,403,1
5,127,2
5,330,2
5,495,1
318,289,2
318,336,2
318,378,2
318,391,2
318,417,1
191,109,1
191,190,2
191,114,2
191,47,2
191,417,2
81,33,2
81,17,1
81,103,1
81,126,2
251,347,2
124,101,2
124,156,2
124,342,2
124,368,2
547,232,2
547,321,2
547,100,1
547,467,2
547,560,2
547,593,2
6,152,2
6,444,2
6,500,1
6,561,2
263,561,2
2,130,2
2,604,2
516,594,2
217,165,2
149,74,2
138,121,2
138,3,1
138,261,2
138,535,2
142,67,2
154,130,2
154,217,2
154,384,2
154,522,2
154,604,1
28,434,1
1,90,2
1,226,2
1,311,2
1,321,2
542,100,2
542,467,1
542,303,2
542,444,2
542,563,2
155,26,2
155,498,2
155,524,2
155,616,2
29,217,2
156,342,2
156,415,1
164,2,2
164,384,2
581,103,2
581,151,2
581,603,2
40,173,2
297,524,2
554,607,2
604,97,2
604,154,1
63,16,2
36,382,2
577,394,2
190,98,1
190,184,2
190,392,2
190,535,2
190,564,1
447,19,2
447,47,2
447,428,1
447,478,2
447,577,2
349,1,1
301,352,2
301,430,2
44,358,2
17,81,1
17,149,2
17,181,1
558,611,2
558,619,2
352,226,1
68,101,1
68,394,2
68,409,2
68,428,2
609,33,2
362,43,2
362,152,1
619,478,2
368,312,2
368,137,2
368,377,2
368,468,1
368,576,2
377,124,2
377,447,2
377,637,2
