362,357,3
362,349,4
362,298,3
362,297,5
362,266,5
362,263,5
362,121,4
362,110,4
362,95,3
362,81,3
362,28,2
362,27,2
362,0,4
362,31,3
362,39,4
362,42,5
362,55,5
362,151,4
362,215,5
362,229,4
362,242,5
362,340,4
362,89,5
362,294,5
362,136,5
362,216,5
362,11,5
362,140,5
362,363,2
362,369,5
356,125,3
356,107,5
356,78,4
356,12,4
356,197,3
356,222,2
356,327,5
356,308,3
356,299,5
356,270,5
356,257,2
356,70,4
356,1,5
356,154,4
356,180,4
356,185,4
356,196,2
356,233,5
356,265,4
356,130,5
356,164,5
356,67,5
356,364,3
356,372,5
345,50,4
345,138,3
345,198,2
343,290,4
343,47,2
343,55,3
343,231,4
340,337,5
340,318,3
340,309,3
340,298,3
340,102,4
340,97,5
340,95,4
340,81,4
340,73,5
340,0,3
340,11,5
340,39,5
340,134,4
340,139,2
340,201,4
340,209,4
340,242,5
340,266,4
340,27,5
340,216,5
340,344,4
340,357,5
340,362,4
340,363,5
340,367,2
339,315,4
339,311,5
339,103,2
339,78,5
339,76,4
339,18,4
339,2,4
339,12,5
339,155,3
339,180,4
339,246,5
339,275,2
339,233,5
339,261,5
339,197,5
339,351,3
339,366,5
339,372,4
337,120,5
321,184,5
320,313,4
320,292,3
320,268,4
320,267,4
320,108,5
320,92,4
320,84,5
320,74,5
320,68,3
320,62,4
320,127,3
320,141,5
320,184,4
320,191,5
320,195,3
320,225,2
320,248,4
320,287,4
320,284,5
320,272,5
320,166,4
320,113,5
320,46,5
320,135,5
320,7,5
320,52,5
320,334,5
320,353,2
320,360,2
313,25,4
313,144,3
313,287,2
306,273,4
306,260,2
306,42,3
306,336,4
302,262,3
302,96,2
302,94,2
302,90,3
302,79,4
302,66,5
302,2,5
302,48,4
302,167,4
302,169,4
302,179,3
302,238,4
302,106,5
302,9,5
302,50,5
302,156,5
302,289,5
302,193,5
302,316,5
302,329,3
302,330,5
301,161,2
301,178,5
301,264,3
301,102,4
301,65,4
301,131,4
301,148,4
301,160,4
301,190,2
301,192,5
301,72,4
301,297,5
301,123,5
301,100,5
301,134,5
301,201,5
301,309,5
301,337,3
300,263,2
300,260,4
300,121,3
300,67,4
300,357,5
300,369,4
298,297,5
297,100,5
295,107,4
295,145,3
295,202,2
294,36,3
294,140,4
294,146,5
294,271,2
294,132,4
294,296,4
289,262,3
289,96,4
289,94,4
289,90,5
289,18,4
289,9,5
289,33,5
289,167,2
289,179,4
289,193,5
289,232,5
289,238,2
289,66,3
289,2,4
289,169,5
289,103,5
289,153,5
289,156,5
289,351,4
287,115,5
287,127,5
287,135,2
287,144,2
287,170,5
287,113,3
287,68,4
287,166,3
287,191,4
287,92,5
287,62,5
287,252,5
287,313,2
287,320,4
287,353,5
287,360,5
287,368,5
278,135,5
278,170,2
278,227,4
278,274,2
278,50,4
278,198,4
278,210,5
278,223,5
278,113,5
278,25,5
278,191,5
278,186,5
278,331,2
278,368,4
272,174,3
272,181,2
272,267,4
272,321,4
267,68,4
267,7,2
267,46,2
267,165,3
267,181,4
267,191,4
267,224,4
267,248,5
267,115,2
267,92,3
267,25,4
267,171,5
267,174,5
267,184,3
267,195,4
267,111,4
267,106,5
267,74,5
267,223,5
267,61,5
267,268,3
267,272,5
267,284,5
267,305,4
267,320,4
267,330,5
267,368,5
265,260,2
265,257,5
265,125,4
265,107,4
265,78,3
265,19,4
265,42,5
265,47,4
265,155,5
265,180,5
265,231,2
265,246,4
265,263,5
265,152,5
265,222,5
265,67,5
265,273,3
265,275,5
265,300,5
265,306,3
265,308,5
265,311,4
265,327,5
265,356,4
265,364,4
265,366,2
263,121,2
263,110,5
263,107,2
263,89,5
263,23,4
263,13,3
263,130,4
263,140,5
263,145,4
263,188,5
263,222,5
263,260,4
263,125,5
263,58,5
263,152,4
263,154,5
263,231,5
263,202,5
263,265,5
263,295,4
263,300,2
263,306,4
263,349,5
263,357,4
263,363,4
263,365,5
263,369,3
262,90,5
261,1,2
261,257,3
261,308,4
260,125,4
260,19,4
260,42,2
260,55,4
260,152,3
260,222,4
260,231,3
260,246,5
260,121,5
260,107,5
260,13,5
260,31,5
260,67,5
260,263,4
260,265,2
260,273,3
260,295,5
260,300,5
