3.000,9.000,0.001,1.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000
3.000,9.000,0.001,1.000,0.000,-0.000,-0.000,0.338,0.276,0.000,0.243,0.001,0.005,0.004,0.040,0.002,0.001,0.003,-0.030,-0.007,48.942,41.919,0.162,36.740,0.226,0.835,0.802
3.001,9.000,0.001,1.000,0.000,-0.000,0.000,0.692,0.614,0.005,0.523,0.007,0.015,0.016,0.061,0.011,0.001,0.010,-0.023,0.072,16.373,16.944,0.896,14.698,1.189,1.171,1.434
3.001,9.000,0.001,1.000,0.000,-0.000,0.001,0.710,0.638,0.019,0.571,0.024,0.028,0.033,0.077,0.022,0.000,0.013,-0.014,0.145,-11.462,-12.735,1.775,-4.751,2.142,1.386,1.963
3.002,9.001,0.001,1.000,0.000,-0.000,0.001,0.511,0.403,0.040,0.456,0.049,0.043,0.055,0.098,0.028,0.000,0.007,-0.012,0.172,-24.668,-29.952,2.515,-15.956,2.900,1.729,2.462
3.003,9.001,0.001,1.000,0.000,-0.000,0.002,0.309,0.157,0.067,0.313,0.081,0.063,0.082,0.128,0.026,0.000,-0.006,-0.017,0.146,-12.068,-14.864,2.831,-9.928,3.329,2.318,2.989
3.005,9.001,0.001,1.000,0.000,-0.001,0.003,0.321,0.163,0.096,0.304,0.115,0.090,0.115,0.160,0.024,0.001,-0.012,-0.023,0.125,12.914,14.639,2.937,7.382,3.596,2.974,3.565
3.007,9.001,0.001,1.000,0.000,-0.001,0.004,0.454,0.336,0.127,0.389,0.154,0.122,0.153,0.183,0.031,0.000,-0.004,-0.013,0.169,10.132,15.982,3.275,7.254,4.148,3.378,4.126
3.009,9.002,0.001,1.000,0.000,-0.001,0.005,0.511,0.446,0.162,0.431,0.199,0.157,0.197,0.201,0.042,-0.001,0.006,-0.002,0.241,1.700,5.895,3.763,1.820,4.829,3.616,4.654
3.011,9.002,0.001,1.000,0.000,-0.001,0.006,0.504,0.475,0.202,0.433,0.250,0.194,0.246,0.219,0.053,-0.002,0.011,0.004,0.304,-2.375,0.718,4.213,-1.129,5.472,3.850,5.166
3.013,9.003,0.001,1.000,0.000,-0.001,0.008,0.475,0.470,0.246,0.416,0.308,0.234,0.300,0.239,0.061,-0.003,0.012,0.007,0.348,-3.097,-1.197,4.627,-2.087,6.049,4.132,5.666
3.015,9.003,0.000,1.000,0.000,-0.001,0.009,0.448,0.456,0.295,0.395,0.371,0.277,0.359,0.259,0.067,-0.004,0.012,0.008,0.379,-2.258,-1.563,5.020,-1.818,6.568,4.459,6.153
3.018,9.004,0.000,1.000,0.000,-0.001,0.011,0.430,0.441,0.347,0.380,0.439,0.323,0.423,0.280,0.071,-0.005,0.011,0.008,0.401,-1.249,-1.369,5.400,-1.208,7.052,4.813,6.627
3.021,9.005,0.000,1.000,0.000,-0.001,0.014,0.422,0.429,0.403,0.371,0.512,0.373,0.492,0.300,0.076,-0.005,0.011,0.007,0.420,-0.488,-1.037,5.770,-0.635,7.515,5.172,7.086
3.024,9.006,0.000,1.000,0.000,-0.001,0.016,0.419,0.420,0.462,0.367,0.590,0.427,0.565,0.319,0.080,-0.006,0.013,0.007,0.438,-0.062,-0.736,6.130,-0.249,7.966,5.524,7.531
3.027,9.006,0.000,1.000,0.000,-0.000,0.018,0.420,0.414,0.525,0.365,0.671,0.484,0.643,0.337,0.085,-0.007,0.014,0.007,0.456,0.116,-0.507,6.479,-0.082,8.408,5.862,7.963
3.031,9.007,0.000,1.000,0.001,-0.000,0.020,0.421,0.410,0.592,0.365,0.758,0.544,0.724,0.355,0.091,-0.008,0.016,0.007,0.475,0.139,-0.348,6.818,0.001,8.843,6.186,8.382
3.034,9.008,0.000,1.000,0.001,-0.000,0.023,0.422,0.407,0.661,0.365,0.848,0.607,0.810,0.372,0.096,-0.009,0.016,0.006,0.494,0.105,-0.240,7.147,0.019,9.270,6.497,8.789
3.038,9.009,0.000,1.000,0.001,-0.000,0.025,0.423,0.405,0.734,0.365,0.943,0.674,0.900,0.387,0.102,-0.009,0.015,0.005,0.512,0.061,-0.166,7.465,0.014,9.687,6.795,9.183
3.042,9.010,-0.000,1.000,0.001,-0.000,0.028,0.424,0.403,0.811,0.365,1.042,0.743,0.994,0.403,0.107,-0.010,0.014,0.005,0.531,0.031,-0.114,7.773,0.010,10.095,7.081,9.567
3.046,9.011,-0.000,1.000,0.001,-0.000,0.030,0.424,0.402,0.890,0.365,1.145,0.815,1.091,0.417,0.113,-0.011,0.013,0.004,0.549,0.012,-0.078,8.071,0.007,10.491,7.356,9.939
3.051,9.012,-0.000,0.999,0.001,-0.000,0.033,0.424,0.402,0.972,0.366,1.252,0.890,1.193,0.431,0.119,-0.011,0.011,0.003,0.567,0.003,-0.052,8.359,0.005,10.875,7.621,10.300
3.055,9.014,-0.000,0.999,0.001,-0.000,0.036,0.424,0.401,1.057,0.366,1.362,0.968,1.297,0.444,0.125,-0.011,0.008,0.003,0.584,-0.001,-0.034,8.638,0.005,11.248,7.876,10.650
